MarkFlow 기술 스택,,,,,
레이어,분류,기술 / 라이브러리,역할,선택 이유,버전 / 비고
프론트엔드,앱 베이스,"React + TypeScript
Vite",컴포넌트 기반 UI 구성,타입 안전성 + Vite 빠른 HMR·번들링으로 개발 생산성 향상,React 18 / Vite 5
프론트엔드,캔버스,"@xyflow/react
(React Flow)",노드·엣지·팬/줌·미니맵 캔버스,무거운 캔버스 로직 위임 → 팀이 MD 노드 UX에 집중 가능,v12
프론트엔드,마크다운,@uiw/react-md-editor,노드 내부 마크다운 작성·렌더링,코드블록·표·리스트 지원. React 친화적 컴포넌트,최신
프론트엔드,상태관리,Zustand,nodes/edges 전역 상태 관리,"Redux 대비 보일러플레이트 최소화, 실시간 훅 연동 단순",v4
프론트엔드,스타일,Tailwind CSS,유틸리티 클래스 기반 UI,"빠른 스타일링, 디자인 일관성 유지",v3
백엔드,서버,Node.js + Express,REST API 서버,권한 검사·저장·AI 프록시 처리. 팀 전체 JS/TS 통일,Node 20
실시간(1순위),실시간,Socket.io,룸 기반 실시간 동기화,커서·노드·채팅 브로드캐스트. 추상화 레이어로 교체 가능,v4
실시간(차선),실시간 대체,Liveblocks,Socket.io 막힐 경우 대체,동일 CollabAPI 인터페이스 유지 → UI 코드 변경 없이 전환,조건부 사용
DB,데이터베이스,PostgreSQL + Prisma,관계형 + JSONB 통합 저장,유저·프로젝트(관계형) + 캔버스 본문(JSONB) 단일 DB 처리,PG 16 / Prisma 5
인증,인증,JWT (jsonwebtoken),이메일/비밀번호 로그인·인가,REST + Socket 양쪽 서버 검증. 4주 내 구현 심플,—
AI(확장),AI 프록시,LLM API + /api/ai/draft,노드 초안 생성·챗봇,"서버 프록시로 API 키 클라이언트 미노출, MVP 이후 순차 적용",MVP 이후
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
