MarkFlow 사용자 기능 정의서,,,,,,
화면,세부 페이지,Epic,기능,설명,구현 여부,디자인 여부
🔐 계정 등록 / 로그인,,,,,,
계정 등록 페이지,회원가입,회원 관리,이메일 입력,"이메일 형식 확인, 중복 확인",☐,☐
,,회원 관리,비밀번호 입력,조건: 8자 이상 / 영문+숫자 조합,☐,☐
,,회원 관리,회원가입 완료,완료 후 로그인 유도,☐,☐
,로그인,회원 관리,로그인,이메일/비밀번호 입력 → JWT 발급,☐,☐
,,회원 관리,로그아웃,별도 페이지 필요 X,☐,☐
📁 프로젝트 관리,,,,,,
프로젝트 목록,목록 조회,프로젝트 관리,내 프로젝트 목록,로그인 후 본인 소유 프로젝트 표시,☐,☐
,,프로젝트 관리,참여 프로젝트 목록,Member로 초대된 프로젝트 함께 표시,☐,☐
,프로젝트 생성,프로젝트 관리,새 프로젝트 생성,프로젝트명 입력 → 생성자 자동 Owner 지정,☐,☐
,멤버 초대,프로젝트 관리,멤버 초대,이메일 입력으로 Member 초대 (Owner 전용),☐,☐
,프로젝트 설정,프로젝트 관리,이름 변경,Owner 전용,☐,☐
,,프로젝트 관리,프로젝트 삭제,"소프트 삭제 (deletedAt), Owner 전용",☐,☐
🖼 캔버스 & 노드,,,,,,
캔버스,무한 캔버스,캔버스,팬 / 줌,마우스 드래그·휠로 캔버스 이동 및 확대·축소,☐,☐
,,캔버스,미니맵,전체 캔버스 조망용 미니맵 표시,☐,☐
,,캔버스,fitView,전체 노드를 화면에 맞춰 자동 정렬,☐,☐
,노드,캔버스,노드 추가,캔버스에 마크다운 노드 생성,☐,☐
,,캔버스,노드 이동,드래그로 노드 위치 변경,☐,☐
,,캔버스,노드 삭제,소프트 삭제,☐,☐
,,캔버스,노드 접기 / 펼치기,접기: 제목+요약 1줄 / 펼치기: 에디터 전체,☐,☐
,마크다운 에디터,캔버스,마크다운 작성·렌더링,노드 내부에서 MD 작성 및 미리보기,☐,☐
,,캔버스,코드블록·표·리스트,구조적 텍스트 표현 지원,☐,☐
,노드 연결,캔버스,엣지(화살표) 생성,노드 간 연결로 아이디어 흐름 표현,☐,☐
,,캔버스,엣지 삭제,연결 제거,☐,☐
,저장,캔버스,자동 저장,"debounce ~2초, {nodes, edges} JSON → DB",☐,☐
,,캔버스,수동 저장,저장 버튼 클릭으로 즉시 저장,☐,☐
⚡ 실시간 협업,,,,,,
캔버스 (협업),멀티커서,실시간 협업,참여자 커서 표시,다른 사용자 커서 위치 + 이름 실시간 표시,☐,☐
,노드 동기화,실시간 협업,노드 실시간 동기화,노드 추가·이동·수정·삭제 즉시 반영,☐,☐
,,실시간 협업,초기 싱크,접속 시 현재 캔버스 상태 수신,☐,☐
,,실시간 협업,재접속 복구,끊김 후 재접속 시 상태 재동기화,☐,☐
,소프트 락,실시간 협업,편집 중 표시,"한 노드 한 명 편집, 'OO 편집 중' 표시",☐,☐
,채팅,실시간 협업,실시간 채팅,프로젝트 단위 메시지 송수신,☐,☐
,,실시간 협업,채팅 이력 복구,재접속 시 이전 채팅 이력 표시,☐,☐
🗂 파일 & 저장 관리,,,,,,
휴지통,목록 조회,파일 관리,삭제 항목 목록,소프트 삭제된 프로젝트·노드 목록 표시,☐,☐
,,파일 관리,복구,deletedAt → null 처리로 복구,☐,☐
,Export,파일 관리,ZIP 다운로드,노드별 .md 파일을 ZIP으로 묶어 다운로드,☐,☐
,,파일 관리,GitHub export,OAuth + Octokit 레포 커밋 (확장 기능),☐,☐
🤖 AI 기능 (확장),,,,,,
캔버스,노드 초안 생성,AI,AI 초안 자동 생성,주제 한 줄 입력 → 마크다운 초안 자동 생성,☐,☐
,사이드 패널,AI,AI 챗봇,사용법 안내·아이디어 정리 상담형 챗봇,☐,☐
,,,,,,
Epic 분류 →  회원 관리  |  프로젝트 관리  |  캔버스  |  실시간 협업  |  파일 관리  |  AI,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
